,Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Employment_Type,Permanent_Employee,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau_Data___Monthly_Other_Co_R,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Worst_status_L6m,Worst_CUrrent_Status,Status_3s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
64,143,933,E,48,5808.0,16.2,secured  ,0,1,12,T,N,0,S,F,36,S,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,120,120000,0,1863,0,5,D,23,0,0,0,99,0,0,0,0,4,0,N,0,19,8,N,99,Gold                      ,1,707.0,,Single,1,0,0
65,146,730,O,84,5000.0,12.9,secured  ,13,2,36,H,Y,2,M,M,36,G,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,120,89000,68569,78025,661,5,D,25,70,2,30,4,16,3,4,3,6,2,N,2,95,4,N,4,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
69,154,797,D,120,12000.0,17.9,secured  ,42,7,120,H,Y,4,S,F,81,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,125,109000,85178,91912,564,0,D,32,87,1,3,18,0,0,0,0,5,0,N,1,68,3,N,18,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
70,155,890,A,120,12000.0,9.4,secured  ,42,7,33,H,Y,0,M,F,48,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,24,119000,91245,111443,1264,5,D,37,93,0,0,99,0,0,0,0,3,0,N,0,202,9,N,99,LASU                      ,1,750.0,LASU,Single,1,0,0
71,160,813,C,37,6000.0,16.9,UnSecured,29,5,3,T,Y,0,S,F,25,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,120000,0,5788,366,5,D,33,0,0,0,99,0,0,0,0,2,0,N,0,58,4,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
73,162,611,R,48,5475.0,33.5,secured  ,46,8,240,L,Y,0,S,M,24,P,F,P,0,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,120000,0,975,0,5,D,21,0,0,0,99,16,1,3,2,7,0,N,0,10,4,N,99,Gold                      ,1,701.0,,Single,1,0,0
76,171,805,D,36,3500.0,24.9,UnSecured,21,4,60,H,Y,0,D,M,48,S,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,24,102000,67603,68030,471,5,D,49,69,0,0,99,0,2,0,0,4,5,N,0,5,5,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
77,173,750,F,60,3000.0,36.9,UnSecured,4,1,240,L,Y,0,S,M,12,P,F,P,2,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,48,120000,0,1229,0,0,D,21,0,0,0,99,0,0,0,0,1,0,N,0,13,2,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
79,175,746,F,37,1500.0,36.9,UnSecured,37,6,27,T,Y,0,M,M,33,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,66,120000,0,255,0,5,D,41,0,0,0,99,7,0,0,0,5,0,N,0,3,2,N,99,1st Cust-LASU/ 2nd C      ,1,752.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
82,180,743,F,36,3000.0,28.9,UnSecured,58,11,60,T,Y,0,M,M,108,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,96,120000,0,25676,542,5,D,29,0,0,0,99,0,0,0,0,6,0,N,0,257,9,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
83,181,903,A,60,6250.0,11.9,UnSecured,31,5,5,H,Y,0,S,F,54,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,156,106000,108956,114529,603,0,D,38,110,0,0,99,0,0,0,0,3,0,N,0,56,4,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
84,186,777,E,60,4000.0,27.9,UnSecured,37,6,58,H,Y,0,S,F,92,G,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,30,70000,39944,44198,270,5,D,37,41,0,0,99,0,1,1,0,1,1,N,0,43,9,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
85,187,786,E,24,1000.0,17.9,UnSecured,42,7,120,H,Y,2,S,M,24,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,168,75000,56098,61395,565,5,D,48,58,0,0,99,0,3,3,1,4,10,N,0,53,7,N,99,LASU                      ,1,750.0,LASU,Single,1,0,0
86,190,1003,X,60,12500.0,7.4,UnSecured,22,4,144,H,Y,3,S,M,229,S,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,325,144000,114218,122518,899,0,D,37,116,0,0,99,0,0,0,0,0,12,N,0,83,5,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
87,192,979,X,60,9000.0,7.9,UnSecured,22,4,180,H,Y,1,M,M,45,S,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,243,130000,52308,60200,418,0,D,38,54,1,3,57,0,0,0,0,4,2,N,1,79,2,N,57,Single                    ,1,718.0,LASCI,Single,1,0,0
89,197,897,A,60,8500.0,10.9,UnSecured,7,1,37,H,Y,2,M,M,120,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,196,150000,45542,58483,359,4,D,32,47,0,0,99,0,1,1,0,3,3,N,0,130,4,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
90,201,766,E,60,4000.0,29.9,UnSecured,27,4,2,T,N,0,S,M,102,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,228,120000,0,6037,100,5,D,40,0,0,0,99,0,0,0,0,3,0,N,0,61,4,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
92,204,777,E,24,1000.0,37.9,UnSecured,31,5,22,H,Y,0,S,M,73,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,46,160000,96000,70830,283,0,D,32,62,0,0,99,180,0,0,0,3,0,N,0,106,6,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
93,207,978,X,36,5000.0,11.9,UnSecured,46,8,228,H,Y,2,M,F,84,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,180000,111204,136806,1935,5,D,44,113,0,0,99,0,0,0,0,3,9,N,0,257,9,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
94,208,947,X,36,5000.0,8.9,UnSecured,12,2,10,H,Y,0,M,F,20,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,TRUE  ,396,190000,46864,47168,586,0,D,60,48,0,0,99,0,0,0,0,4,1,N,0,4,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
96,215,813,C,48,3000.0,26.9,UnSecured,37,6,84,T,N,0,D,M,48,D,F,P,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,175,120000,0,2358,0,0,D,58,0,0,0,99,0,0,2,0,2,4,N,0,24,3,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
97,216,894,A,36,5000.0,11.9,UnSecured,17,3,247,H,Y,0,M,M,90,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,132,325000,201376,212581,3104,5,D,60,203,0,0,99,0,2,2,0,3,18,N,0,113,9,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
98,220,861,B,60,5700.0,12.9,UnSecured,46,8,444,T,Y,0,M,M,419,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,191,120000,0,17224,0,0,D,61,0,0,0,99,0,3,3,1,0,0,N,0,173,3,N,99,Single                    ,1,717.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
102,239,592,S,37,2250.0,30.9,UnSecured,40,6,9,T,Y,1,S,M,84,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,96,120000,0,23467,407,0,D,24,0,0,0,99,1,0,0,0,5,1,N,0,235,9,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
103,240,955,X,60,6000.0,8.9,UnSecured,13,2,100,H,Y,0,D,F,40,S,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,300,80000,0,15090,416,5,D,60,0,0,0,99,11,1,0,0,1,5,N,0,151,4,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
104,245,825,C,49,3000.0,24.9,UnSecured,44,8,362,H,Y,0,M,M,180,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,336,100000,78552,125019,1078,4,D,60,80,0,0,99,0,2,0,0,8,28,N,0,465,9,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
105,246,804,D,60,5000.0,18.9,UnSecured,43,7,219,T,Y,0,D,F,249,G,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,105,120000,0,13596,259,0,D,37,0,0,0,99,17,0,0,0,1,5,N,0,136,7,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
106,247,789,D,60,8000.0,19.9,UnSecured,18,3,114,H,Y,1,D,F,150,G,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,313,149000,111500,96112,581,0,D,48,88,0,0,99,2,4,0,1,5,9,N,0,93,7,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
107,252,740,F,60,4000.0,30.9,UnSecured,21,4,5,T,Y,0,M,F,18,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,132,120000,0,10520,239,0,D,24,0,0,0,99,56,0,0,0,1,0,N,0,106,6,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
109,262,890,A,60,7000.0,17.9,UnSecured,50,10,35,T,Y,0,D,M,223,D,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,165,120000,0,6939,110,0,S,60,0,0,0,99,0,0,0,0,1,3,N,0,70,3,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
110,268,876,A,60,6000.0,17.9,UnSecured,21,4,36,H,Y,0,D,F,60,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,72,130000,44153,46389,294,5,D,47,46,0,0,99,1,2,2,0,1,3,N,0,23,5,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
111,271,978,X,60,10000.0,6.9,UnSecured,16,3,192,H,Y,2,M,M,156,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,420,190000,66000,54707,457,0,D,45,25,0,0,99,0,0,0,0,0,1,N,0,312,9,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
